['Qh', '6s', '2d', '8h', '3h', 'Kc']
['7s', '5c', 'Kd', '9h', '5s', '6s']
['Qh', '8s', 'Ks', '4s', 'Qs', '8h']
['Qh', '8s', 'Ks', '4s', 'Qs', '8h']
['Qh', '8s', 'Ks', '4s', 'Qs', '8h']
['Qh', '8s', 'Ks', '4s', 'Qs', '8h']
['Qh', '8s', 'Ks', '4s', 'Qs', '8h']
['8d', 'Jd', 'Ad', 'Tc', '3c', 'Ts']
['8d', 'Jd', 'Ad', 'Tc', '3c', 'Ts']
['8d', 'Jd', 'Ad', 'Tc', '3c', 'Ts']
['8d', 'Jd', 'Ad', 'Tc', '3c', 'Ts']
['8d', 'Jd', 'Ad', 'Tc', '3c', 'Ts']
['5h', 'Ks', '9h', '8s', '6d', '2d']
['5h', 'Ks', '9h', '8s', '6d', '2d']
['5h', 'Ks', '9h', '8s', '6d', '2d']
['5h', 'Ks', '9h', '8s', '6d', '2d']
['5h', 'Ks', '9h', '8s', '6d', '2d']
['3h', '5h', '9d', 'Qc', 'Ks', '5c']
['3h', '5h', '9d', 'Qc', 'Ks', '5c']
['3h', '5h', '9d', 'Qc', 'Ks', '5c']
['3h', '5h', '9d', 'Qc', 'Ks', '5c']
['3h', '5h', '9d', 'Qc', 'Ks', '5c']
['4d', '9c', '5d', '2s', '8h', '2c']
['4d', '9c', '5d', '2s', '8h', '2c']
['4d', '9c', '5d', '2s', '8h', '2c']
['4d', '9c', '5d', '2s', '8h', '2c']
['4d', '9c', '5d', '2s', '8h', '2c']
['9h', 'Qd', '3h', '9c', '8c', 'Ks']
['9h', 'Qd', '3h', '9c', '8c', 'Ks']
['9h', 'Qd', '3h', '9c', '8c', 'Ks']
['9h', 'Qd', '3h', '9c', '8c', 'Ks']
['9h', 'Qd', '3h', '9c', '8c', 'Ks']
['6s', 'Td', 'Qh', '8s', 'Js', '7h']
['6s', 'Td', 'Qh', '8s', 'Js', '7h']
['6s', 'Td', 'Qh', '8s', 'Js', '7h']
['6s', 'Td', 'Qh', '8s', 'Js', '7h']
['6s', 'Td', 'Qh', '8s', 'Js', '7h']
['7h', '9s', '4d', '7s', '2d', '5s']
['7h', '9s', '4d', '7s', '2d', '5s']
['7h', '9s', '4d', '7s', '2d', '5s']
['7h', '9s', '4d', '7s', '2d', '5s']
['7h', '9s', '4d', '7s', '2d', '5s']
['7c', 'Jh', 'Ts', '5c', 'Tc', '9c']
['7c', 'Jh', 'Ts', '5c', 'Tc', '9c']
['7c', 'Jh', 'Ts', '5c', 'Tc', '9c']
['7c', 'Jh', 'Ts', '5c', 'Tc', '9c']
['7c', 'Jh', 'Ts', '5c', 'Tc', '9c']
['7s', 'Kd', '2s', 'Jd', 'Jc', '9h']
['7s', 'Kd', '2s', 'Jd', 'Jc', '9h']
['7s', 'Kd', '2s', 'Jd', 'Jc', '9h']
['7s', 'Kd', '2s', 'Jd', 'Jc', '9h']
['7s', 'Kd', '2s', 'Jd', 'Jc', '9h']
['2d', 'Td', 'Jh', 'Tc', '2c', '2s']
['2d', 'Td', 'Jh', 'Tc', '2c', '2s']
['2d', 'Td', 'Jh', 'Tc', '2c', '2s']
['2d', 'Td', 'Jh', 'Tc', '2c', '2s']
['2d', 'Td', 'Jh', 'Tc', '2c', '2s']
['8c', '4c', '4s', '4d', '8h', 'Kc']
['8c', '4c', '4s', '4d', '8h', 'Kc']
['8c', '4c', '4s', '4d', '8h', 'Kc']
['8c', '4c', '4s', '4d', '8h', 'Kc']
['8c', '4c', '4s', '4d', '8h', 'Kc']
['Td', '3c', 'Js', '2d', '8s', 'Jh']
['Td', '3c', 'Js', '2d', '8s', 'Jh']
['Td', '3c', 'Js', '2d', '8s', 'Jh']
['Td', '3c', 'Js', '2d', '8s', 'Jh']
['Td', '3c', 'Js', '2d', '8s', 'Jh']
['Qs', '2s', '9h', 'Qd', 'Jc', 'Tc']
['Qs', '2s', '9h', 'Qd', 'Jc', 'Tc']
['Qs', '2s', '9h', 'Qd', 'Jc', 'Tc']
['Qs', '2s', '9h', 'Qd', 'Jc', 'Tc']
['Qs', '2s', '9h', 'Qd', 'Jc', 'Tc']
['Ks', '4c', '8d', '5s', '9c', '3s']
['Ks', '4c', '8d', '5s', '9c', '3s']
['Ks', '4c', '8d', '5s', '9c', '3s']
['Ks', '4c', '8d', '5s', '9c', '3s']
['Ks', '4c', '8d', '5s', '9c', '3s']
['Kh', '6s', 'Js', '5c', '2c', '7h']
['Kh', '6s', 'Js', '5c', '2c', '7h']
['Kh', '6s', 'Js', '5c', '2c', '7h']
['Kh', '6s', 'Js', '5c', '2c', '7h']
['Kh', '6s', 'Js', '5c', '2c', '7h']
['Ad', '6h', '5h', '3c', 'Tc', '3s']
['Ad', '6h', '5h', '3c', 'Tc', '3s']
['Ad', '6h', '5h', '3c', 'Tc', '3s']
['Ad', '6h', '5h', '3c', 'Tc', '3s']
['Ad', '6h', '5h', '3c', 'Tc', '3s']
['5c', '8h', '3s', '5h', 'Th', 'Tc']
['5c', '8h', '3s', '5h', 'Th', 'Tc']
['5c', '8h', '3s', '5h', 'Th', 'Tc']
['5c', '8h', '3s', '5h', 'Th', 'Tc']
['5c', '8h', '3s', '5h', 'Th', 'Tc']
['8s', 'Qh', '9c', '6c', 'Kc', '7s']
['8s', 'Qh', '9c', '6c', 'Kc', '7s']
['8s', 'Qh', '9c', '6c', 'Kc', '7s']
['8s', 'Qh', '9c', '6c', 'Kc', '7s']
['8s', 'Qh', '9c', '6c', 'Kc', '7s']
['4s', '3h', 'Qh', '9d', '6d', '5d']
['4s', '3h', 'Qh', '9d', '6d', '5d']
['4s', '3h', 'Qh', '9d', '6d', '5d']
['4s', '3h', 'Qh', '9d', '6d', '5d']
['4s', '3h', 'Qh', '9d', '6d', '5d']
['6s', 'Td', '5c', '3c', '2d', '2c']
['6s', 'Td', '5c', '3c', '2d', '2c']
['6s', 'Td', '5c', '3c', '2d', '2c']
['6s', 'Td', '5c', '3c', '2d', '2c']
['6s', 'Td', '5c', '3c', '2d', '2c']
['Qs', '4h', 'Ts', 'Ac', '8s', 'As']
['Qs', '4h', 'Ts', 'Ac', '8s', 'As']
['Qs', '4h', 'Ts', 'Ac', '8s', 'As']
['Qs', '4h', 'Ts', 'Ac', '8s', 'As']
['Qs', '4h', 'Ts', 'Ac', '8s', 'As']
['Ts', '4h', '8d', 'Kc', 'Qh', 'Ad']
['Ts', '4h', '8d', 'Kc', 'Qh', 'Ad']
['Ts', '4h', '8d', 'Kc', 'Qh', 'Ad']
['Ts', '4h', '8d', 'Kc', 'Qh', 'Ad']
['Ts', '4h', '8d', 'Kc', 'Qh', 'Ad']
['3d', 'Qd', '2c', '5h', '3s', '3c']
['3d', 'Qd', '2c', '5h', '3s', '3c']
['3d', 'Qd', '2c', '5h', '3s', '3c']
['3d', 'Qd', '2c', '5h', '3s', '3c']
['3d', 'Qd', '2c', '5h', '3s', '3c']
['2s', '5c', '4h', '4s', 'Kd', '3d']
['2s', '5c', '4h', '4s', 'Kd', '3d']
['2s', '5c', '4h', '4s', 'Kd', '3d']
['2s', '5c', '4h', '4s', 'Kd', '3d']
['2s', '5c', '4h', '4s', 'Kd', '3d']
['Kd', 'As', 'Qd', '5c', '3c', '7d']
['Kd', 'As', 'Qd', '5c', '3c', '7d']
['Kd', 'As', 'Qd', '5c', '3c', '7d']
['Kd', 'As', 'Qd', '5c', '3c', '7d']
['Kd', 'As', 'Qd', '5c', '3c', '7d']
['8h', 'Jc', '5d', 'Qs', '7h', '3s']
['8h', 'Jc', '5d', 'Qs', '7h', '3s']
['8h', 'Jc', '5d', 'Qs', '7h', '3s']
['8h', 'Jc', '5d', 'Qs', '7h', '3s']
['8h', 'Jc', '5d', 'Qs', '7h', '3s']
['Jd', '7h', '7c', '5c', '7s', '3h']
['Jd', '7h', '7c', '5c', '7s', '3h']
['Jd', '7h', '7c', '5c', '7s', '3h']
['Jd', '7h', '7c', '5c', '7s', '3h']
['Jd', '7h', '7c', '5c', '7s', '3h']
['4d', 'Tc', 'As', '2h', 'Qh', 'Td']
['4d', 'Tc', 'As', '2h', 'Qh', 'Td']
['4d', 'Tc', 'As', '2h', 'Qh', 'Td']
['4d', 'Tc', 'As', '2h', 'Qh', 'Td']
['4d', 'Tc', 'As', '2h', 'Qh', 'Td']
['9c', '4s', '7h', '5h', 'As', '3c']
['9c', '4s', '7h', '5h', 'As', '3c']
['9c', '4s', '7h', '5h', 'As', '3c']
['9c', '4s', '7h', '5h', 'As', '3c']
['9c', '4s', '7h', '5h', 'As', '3c']
['9c', '7h', '3h', 'Qh', '6h', '4d']
['9c', '7h', '3h', 'Qh', '6h', '4d']
['9c', '7h', '3h', 'Qh', '6h', '4d']
['9c', '7h', '3h', 'Qh', '6h', '4d']
['9c', '7h', '3h', 'Qh', '6h', '4d']
['Tc', '5d', '4d', 'Qd', 'Js', 'As']
['Tc', '5d', '4d', 'Qd', 'Js', 'As']
['Tc', '5d', '4d', 'Qd', 'Js', 'As']
['Tc', '5d', '4d', 'Qd', 'Js', 'As']
['Tc', '5d', '4d', 'Qd', 'Js', 'As']
['8c', '4c', '2s', 'Tc', 'Qh', '7h']
['8c', '4c', '2s', 'Tc', 'Qh', '7h']
['8c', '4c', '2s', 'Tc', 'Qh', '7h']
['8c', '4c', '2s', 'Tc', 'Qh', '7h']
['8c', '4c', '2s', 'Tc', 'Qh', '7h']
['Kc', '3h', '5d', '4h', '6s', '6h']
['Kc', '3h', '5d', '4h', '6s', '6h']
['Kc', '3h', '5d', '4h', '6s', '6h']
['Kc', '3h', '5d', '4h', '6s', '6h']
['Kc', '3h', '5d', '4h', '6s', '6h']
['7d', '6c', '3d', '4d', '2s', '3h']
['7d', '6c', '3d', '4d', '2s', '3h']
['7d', '6c', '3d', '4d', '2s', '3h']
['7d', '6c', '3d', '4d', '2s', '3h']
['7d', '6c', '3d', '4d', '2s', '3h']
['4h', 'Ad', '8d', 'Qs', 'Jh', 'Qd']
['4h', 'Ad', '8d', 'Qs', 'Jh', 'Qd']
['4h', 'Ad', '8d', 'Qs', 'Jh', 'Qd']
['4h', 'Ad', '8d', 'Qs', 'Jh', 'Qd']
['4h', 'Ad', '8d', 'Qs', 'Jh', 'Qd']
['2c', '2s', 'Ts', '2d', 'Kh', '5s']
['2c', '2s', 'Ts', '2d', 'Kh', '5s']
['2c', '2s', 'Ts', '2d', 'Kh', '5s']
['2c', '2s', 'Ts', '2d', 'Kh', '5s']
['2c', '2s', 'Ts', '2d', 'Kh', '5s']
['5d', '5c', '7d', '6d', 'Kc', 'Qs']
['5d', '5c', '7d', '6d', 'Kc', 'Qs']
['5d', '5c', '7d', '6d', 'Kc', 'Qs']
['5d', '5c', '7d', '6d', 'Kc', 'Qs']
['5d', '5c', '7d', '6d', 'Kc', 'Qs']
['Kd', '5s', 'As', 'Qh', '7c', '2c']
['Kd', '5s', 'As', 'Qh', '7c', '2c']
['Kd', '5s', 'As', 'Qh', '7c', '2c']
['Kd', '5s', 'As', 'Qh', '7c', '2c']
['Kd', '5s', 'As', 'Qh', '7c', '2c']
['4c', '2d', 'Qs', '9s', 'Js', 'Qc']
['4c', '2d', 'Qs', '9s', 'Js', 'Qc']
['4c', '2d', 'Qs', '9s', 'Js', 'Qc']
['4c', '2d', 'Qs', '9s', 'Js', 'Qc']
['4c', '2d', 'Qs', '9s', 'Js', 'Qc']
['6c', '5h', 'Kc', 'Ac', '5c', '2c']
['6c', '5h', 'Kc', 'Ac', '5c', '2c']
['6c', '5h', 'Kc', 'Ac', '5c', '2c']
['6c', '5h', 'Kc', 'Ac', '5c', '2c']
['6c', '5h', 'Kc', 'Ac', '5c', '2c']
['5c', '5d', '2s', '7s', '7d', '8s']
['5c', '5d', '2s', '7s', '7d', '8s']
['5c', '5d', '2s', '7s', '7d', '8s']
['5c', '5d', '2s', '7s', '7d', '8s']
['5c', '5d', '2s', '7s', '7d', '8s']
['8c', 'Th', 'Kh', '8s', 'Jd', '2d']
['8c', 'Th', 'Kh', '8s', 'Jd', '2d']
['8c', 'Th', 'Kh', '8s', 'Jd', '2d']
['8c', 'Th', 'Kh', '8s', 'Jd', '2d']
['8c', 'Th', 'Kh', '8s', 'Jd', '2d']
['Qc', 'Jd', '7s', '4h', '2s', '8d']
['Qc', 'Jd', '7s', '4h', '2s', '8d']
['Qc', 'Jd', '7s', '4h', '2s', '8d']
['Qc', 'Jd', '7s', '4h', '2s', '8d']
['Qc', 'Jd', '7s', '4h', '2s', '8d']
['Ac', '3d', '7c', 'Qh', 'Jc', '7h']
['Ac', '3d', '7c', 'Qh', 'Jc', '7h']
['Ac', '3d', '7c', 'Qh', 'Jc', '7h']
['Ac', '3d', '7c', 'Qh', 'Jc', '7h']
['Ac', '3d', '7c', 'Qh', 'Jc', '7h']
['8s', 'Kc', '8d', '2h', '8h', '7h']
['8s', 'Kc', '8d', '2h', '8h', '7h']
['8s', 'Kc', '8d', '2h', '8h', '7h']
['8s', 'Kc', '8d', '2h', '8h', '7h']
['8s', 'Kc', '8d', '2h', '8h', '7h']
['Ac', 'Jd', '9d', 'Ts', '2d', '8s']
['Ac', 'Jd', '9d', 'Ts', '2d', '8s']
['Ac', 'Jd', '9d', 'Ts', '2d', '8s']
['Ac', 'Jd', '9d', 'Ts', '2d', '8s']
['Ac', 'Jd', '9d', 'Ts', '2d', '8s']
['9d', '6s', '2h', '3h', '5s', '7d']
['9d', '6s', '2h', '3h', '5s', '7d']
['9d', '6s', '2h', '3h', '5s', '7d']
['9d', '6s', '2h', '3h', '5s', '7d']
['9d', '6s', '2h', '3h', '5s', '7d']
['4d', 'Js', '3c', '9d', 'Jd', '9c']
['4d', 'Js', '3c', '9d', 'Jd', '9c']
['4d', 'Js', '3c', '9d', 'Jd', '9c']
['4d', 'Js', '3c', '9d', 'Jd', '9c']
['4d', 'Js', '3c', '9d', 'Jd', '9c']
['As', 'Qh', '3d', '7c', '5s', 'Jd']
['As', 'Qh', '3d', '7c', '5s', 'Jd']
['As', 'Qh', '3d', '7c', '5s', 'Jd']
['As', 'Qh', '3d', '7c', '5s', 'Jd']
['As', 'Qh', '3d', '7c', '5s', 'Jd']
['4s', '6h', 'Kh', '4h', '9h', '6c']
['4s', '6h', 'Kh', '4h', '9h', '6c']
['4s', '6h', 'Kh', '4h', '9h', '6c']
['4s', '6h', 'Kh', '4h', '9h', '6c']
['4s', '6h', 'Kh', '4h', '9h', '6c']
['7c', '6s', '5c', '6d', 'Qs', 'Td']
['7c', '6s', '5c', '6d', 'Qs', 'Td']
['7c', '6s', '5c', '6d', 'Qs', 'Td']
['7c', '6s', '5c', '6d', 'Qs', 'Td']
['7c', '6s', '5c', '6d', 'Qs', 'Td']
['7c', '8d', 'Jh', '7d', '9s', 'Ah']
['7c', '8d', 'Jh', '7d', '9s', 'Ah']
['7c', '8d', 'Jh', '7d', '9s', 'Ah']
['7c', '8d', 'Jh', '7d', '9s', 'Ah']
['7c', '8d', 'Jh', '7d', '9s', 'Ah']
['6d', '4s', '7h', 'Kh', '4d', 'Ac']
['6d', '4s', '7h', 'Kh', '4d', 'Ac']
['6d', '4s', '7h', 'Kh', '4d', 'Ac']
['6d', '4s', '7h', 'Kh', '4d', 'Ac']
['6d', '4s', '7h', 'Kh', '4d', 'Ac']
['Qc', 'Jd', '7c', '5d', 'Kd', '4d']
['Qc', 'Jd', '7c', '5d', 'Kd', '4d']
['Qc', 'Jd', '7c', '5d', 'Kd', '4d']
['Qc', 'Jd', '7c', '5d', 'Kd', '4d']
['Qc', 'Jd', '7c', '5d', 'Kd', '4d']
['Jc', '7d', 'Tc', '3h', 'Td', '6d']
['Jc', '7d', 'Tc', '3h', 'Td', '6d']
['Jc', '7d', 'Tc', '3h', 'Td', '6d']
['Jc', '7d', 'Tc', '3h', 'Td', '6d']
['Jc', '7d', 'Tc', '3h', 'Td', '6d']
['5h', '4d', 'Tc', 'Qs', '9h', 'Qd']
['5h', '4d', 'Tc', 'Qs', '9h', 'Qd']
['5h', '4d', 'Tc', 'Qs', '9h', 'Qd']
['5h', '4d', 'Tc', 'Qs', '9h', 'Qd']
['5h', '4d', 'Tc', 'Qs', '9h', 'Qd']
['Jc', '2h', '8c', '3c', '4s', 'Ts']
['Jc', '2h', '8c', '3c', '4s', 'Ts']
['Jc', '2h', '8c', '3c', '4s', 'Ts']
['Jc', '2h', '8c', '3c', '4s', 'Ts']
['Jc', '2h', '8c', '3c', '4s', 'Ts']
['Jd', 'As', 'Qc', '6s', '7c', 'Th']
['Jd', 'As', 'Qc', '6s', '7c', 'Th']
['Jd', 'As', 'Qc', '6s', '7c', 'Th']
['Jd', 'As', 'Qc', '6s', '7c', 'Th']
['Jd', 'As', 'Qc', '6s', '7c', 'Th']
['2h', 'Th', '3c', '4c', '6c', 'Qs']
['2h', 'Th', '3c', '4c', '6c', 'Qs']
['2h', 'Th', '3c', '4c', '6c', 'Qs']
['2h', 'Th', '3c', '4c', '6c', 'Qs']
['2h', 'Th', '3c', '4c', '6c', 'Qs']
['Qd', '6d', '8c', '9h', '2h', '9s']
['Qd', '6d', '8c', '9h', '2h', '9s']
['Qd', '6d', '8c', '9h', '2h', '9s']
['Qd', '6d', '8c', '9h', '2h', '9s']
['Qd', '6d', '8c', '9h', '2h', '9s']
['Js', '7d', '3h', 'Jh', '8d', '9c']
['Js', '7d', '3h', 'Jh', '8d', '9c']
['Js', '7d', '3h', 'Jh', '8d', '9c']
['Js', '7d', '3h', 'Jh', '8d', '9c']
['Js', '7d', '3h', 'Jh', '8d', '9c']
['5s', '8s', '9s', 'Kh', 'Qs', '3c']
['5s', '8s', '9s', 'Kh', 'Qs', '3c']
['5s', '8s', '9s', 'Kh', 'Qs', '3c']
['5s', '8s', '9s', 'Kh', 'Qs', '3c']
['5s', '8s', '9s', 'Kh', 'Qs', '3c']
['2h', 'Jc', '6c', 'Ts', '4h', '9d']
['2h', 'Jc', '6c', 'Ts', '4h', '9d']
['2h', 'Jc', '6c', 'Ts', '4h', '9d']
['2h', 'Jc', '6c', 'Ts', '4h', '9d']
['2h', 'Jc', '6c', 'Ts', '4h', '9d']
['Qc', '5d', 'Tc', '7s', '9h', 'Jc']
['Qc', '5d', 'Tc', '7s', '9h', 'Jc']
['Qc', '5d', 'Tc', '7s', '9h', 'Jc']
['Qc', '5d', 'Tc', '7s', '9h', 'Jc']
['Qc', '5d', 'Tc', '7s', '9h', 'Jc']
['7h', 'Th', '6d', 'Ks', 'Ts', 'Jc']
['7h', 'Th', '6d', 'Ks', 'Ts', 'Jc']
['7h', 'Th', '6d', 'Ks', 'Ts', 'Jc']
['7h', 'Th', '6d', 'Ks', 'Ts', 'Jc']
['7h', 'Th', '6d', 'Ks', 'Ts', 'Jc']
['Qd', '8s', '7c', '6d', 'Jh', '7h']
['Qd', '8s', '7c', '6d', 'Jh', '7h']
['Qd', '8s', '7c', '6d', 'Jh', '7h']
['Qd', '8s', '7c', '6d', 'Jh', '7h']
['Qd', '8s', '7c', '6d', 'Jh', '7h']
['Ks', '3d', 'Jd', '8h', '2s', '5h']
['Ks', '3d', 'Jd', '8h', '2s', '5h']
['Ks', '3d', 'Jd', '8h', '2s', '5h']
['Ks', '3d', 'Jd', '8h', '2s', '5h']
['Ks', '3d', 'Jd', '8h', '2s', '5h']
['Tc', 'Ks', '5h', '5s', 'Kd', 'Ah']
['Tc', 'Ks', '5h', '5s', 'Kd', 'Ah']
['Tc', 'Ks', '5h', '5s', 'Kd', 'Ah']
['Tc', 'Ks', '5h', '5s', 'Kd', 'Ah']
['Tc', 'Ks', '5h', '5s', 'Kd', 'Ah']
['As', '8d', '4c', '2s', 'Jc', '7d']
['As', '8d', '4c', '2s', 'Jc', '7d']
['As', '8d', '4c', '2s', 'Jc', '7d']
['As', '8d', '4c', '2s', 'Jc', '7d']
['As', '8d', '4c', '2s', 'Jc', '7d']
['Kh', 'Ad', '4d', '3s', '5c', 'Ts']
['Kh', 'Ad', '4d', '3s', '5c', 'Ts']
['Kh', 'Ad', '4d', '3s', '5c', 'Ts']
['Kh', 'Ad', '4d', '3s', '5c', 'Ts']
['Kh', 'Ad', '4d', '3s', '5c', 'Ts']
['Ah', '7h', '4h', '9s', '6c', 'Qd']
['Ah', '7h', '4h', '9s', '6c', 'Qd']
['Ah', '7h', '4h', '9s', '6c', 'Qd']
['Ah', '7h', '4h', '9s', '6c', 'Qd']
['Ah', '7h', '4h', '9s', '6c', 'Qd']
['2h', '7s', 'Kh', '5d', 'Kc', 'Jh']
['2h', '7s', 'Kh', '5d', 'Kc', 'Jh']
['2h', '7s', 'Kh', '5d', 'Kc', 'Jh']
['2h', '7s', 'Kh', '5d', 'Kc', 'Jh']
['2h', '7s', 'Kh', '5d', 'Kc', 'Jh']
['5d', 'Jd', 'Tc', 'Ah', '7d', 'Ac']
['5d', 'Jd', 'Tc', 'Ah', '7d', 'Ac']
['5d', 'Jd', 'Tc', 'Ah', '7d', 'Ac']
['5d', 'Jd', 'Tc', 'Ah', '7d', 'Ac']
['5d', 'Jd', 'Tc', 'Ah', '7d', 'Ac']
['9c', 'Js', '8d', 'Qs', 'Ah', '5s']
['9c', 'Js', '8d', 'Qs', 'Ah', '5s']
['9c', 'Js', '8d', 'Qs', 'Ah', '5s']
['9c', 'Js', '8d', 'Qs', 'Ah', '5s']
['9c', 'Js', '8d', 'Qs', 'Ah', '5s']
['4s', '3s', '3d', '8h', 'Ad', 'Ac']
['4s', '3s', '3d', '8h', 'Ad', 'Ac']
['4s', '3s', '3d', '8h', 'Ad', 'Ac']
['4s', '3s', '3d', '8h', 'Ad', 'Ac']
['4s', '3s', '3d', '8h', 'Ad', 'Ac']
['5h', '2d', '4c', '3d', 'Js', 'Jh']
['5h', '2d', '4c', '3d', 'Js', 'Jh']
['5h', '2d', '4c', '3d', 'Js', 'Jh']
['5h', '2d', '4c', '3d', 'Js', 'Jh']
['5h', '2d', '4c', '3d', 'Js', 'Jh']
['4h', '6d', 'Ah', '6s', '7d', '9d']
['4h', '6d', 'Ah', '6s', '7d', '9d']
['4h', '6d', 'Ah', '6s', '7d', '9d']
['4h', '6d', 'Ah', '6s', '7d', '9d']
['4h', '6d', 'Ah', '6s', '7d', '9d']
['8d', '3s', '4s', '6d', '2h', 'Th']
['8d', '3s', '4s', '6d', '2h', 'Th']
['8d', '3s', '4s', '6d', '2h', 'Th']
['8d', '3s', '4s', '6d', '2h', 'Th']
['8d', '3s', '4s', '6d', '2h', 'Th']
['8h', '5d', '9h', 'Js', 'Ad', '7h']
['8h', '5d', '9h', 'Js', 'Ad', '7h']
['8h', '5d', '9h', 'Js', 'Ad', '7h']
['8h', '5d', '9h', 'Js', 'Ad', '7h']
['8h', '5d', '9h', 'Js', 'Ad', '7h']
['7c', '7s', 'Qs', '4d', '9h', '4c']
['7c', '7s', 'Qs', '4d', '9h', '4c']
['7c', '7s', 'Qs', '4d', '9h', '4c']
['7c', '7s', 'Qs', '4d', '9h', '4c']
['7c', '7s', 'Qs', '4d', '9h', '4c']
['Kd', '3s', 'Ts', 'Th', '8c', '7s']
['Kd', '3s', 'Ts', 'Th', '8c', '7s']
['Kd', '3s', 'Ts', 'Th', '8c', '7s']
['Kd', '3s', 'Ts', 'Th', '8c', '7s']
['Kd', '3s', 'Ts', 'Th', '8c', '7s']
['Jc', 'Jh', 'Td', 'Jd', 'Kc', '6d']
['Jc', 'Jh', 'Td', 'Jd', 'Kc', '6d']
['Jc', 'Jh', 'Td', 'Jd', 'Kc', '6d']
['Jc', 'Jh', 'Td', 'Jd', 'Kc', '6d']
['Jc', 'Jh', 'Td', 'Jd', 'Kc', '6d']
['Kc', 'Jh', 'As', 'Ks', '6c', '9c']
['Kc', 'Jh', 'As', 'Ks', '6c', '9c']
['Kc', 'Jh', 'As', 'Ks', '6c', '9c']
['Kc', 'Jh', 'As', 'Ks', '6c', '9c']
['Kc', 'Jh', 'As', 'Ks', '6c', '9c']
['9h', '8s', '7h', '3h', '5s', 'Qc']
['9h', '8s', '7h', '3h', '5s', 'Qc']
['9h', '8s', '7h', '3h', '5s', 'Qc']
['9h', '8s', '7h', '3h', '5s', 'Qc']
['9h', '8s', '7h', '3h', '5s', 'Qc']
['7s', '3h', '9s', 'Ad', '4c', '2d']
['7s', '3h', '9s', 'Ad', '4c', '2d']
['7s', '3h', '9s', 'Ad', '4c', '2d']
['7s', '3h', '9s', 'Ad', '4c', '2d']
['7s', '3h', '9s', 'Ad', '4c', '2d']
['2d', '8h', '2c', '7c', 'Jh', '2s']
['2d', '8h', '2c', '7c', 'Jh', '2s']
['2d', '8h', '2c', '7c', 'Jh', '2s']
['2d', '8h', '2c', '7c', 'Jh', '2s']
['2d', '8h', '2c', '7c', 'Jh', '2s']
['Jd', 'Qs', 'Js', 'As', '6h', '4s']
['Jd', 'Qs', 'Js', 'As', '6h', '4s']
['Jd', 'Qs', 'Js', 'As', '6h', '4s']
['Jd', 'Qs', 'Js', 'As', '6h', '4s']
['Jd', 'Qs', 'Js', 'As', '6h', '4s']
['2c', 'Th', '5h', 'Kd', '5s', '9d']
['2c', 'Th', '5h', 'Kd', '5s', '9d']
['2c', 'Th', '5h', 'Kd', '5s', '9d']
['2c', 'Th', '5h', 'Kd', '5s', '9d']
['2c', 'Th', '5h', 'Kd', '5s', '9d']
['4d', 'Jh', '8s', '7h', '4s', '3c']
['4d', 'Jh', '8s', '7h', '4s', '3c']
['4d', 'Jh', '8s', '7h', '4s', '3c']
['4d', 'Jh', '8s', '7h', '4s', '3c']
['4d', 'Jh', '8s', '7h', '4s', '3c']
['7c', 'Td', '6h', '5d', '6c', 'Ts']
['7c', 'Td', '6h', '5d', '6c', 'Ts']
['7c', 'Td', '6h', '5d', '6c', 'Ts']
['7c', 'Td', '6h', '5d', '6c', 'Ts']
['7c', 'Td', '6h', '5d', '6c', 'Ts']
['6d', '2s', '5s', '3s', 'Qs', '6s']
['6d', '2s', '5s', '3s', 'Qs', '6s']
['6d', '2s', '5s', '3s', 'Qs', '6s']
['6d', '2s', '5s', '3s', 'Qs', '6s']
['6d', '2s', '5s', '3s', 'Qs', '6s']
['Kc', 'Th', 'As', '4s', '6s', '9d']
['Kc', 'Th', 'As', '4s', '6s', '9d']
['Kc', 'Th', 'As', '4s', '6s', '9d']
['Kc', 'Th', 'As', '4s', '6s', '9d']
['Kc', 'Th', 'As', '4s', '6s', '9d']
['5h', 'Kd', '4d', '9s', '2c', 'Kc']
['5h', 'Kd', '4d', '9s', '2c', 'Kc']
['5h', 'Kd', '4d', '9s', '2c', 'Kc']
['5h', 'Kd', '4d', '9s', '2c', 'Kc']
['5h', 'Kd', '4d', '9s', '2c', 'Kc']
['6c', '4s', 'As', '7c', 'Kd', '6h']
['6c', '4s', 'As', '7c', 'Kd', '6h']
['6c', '4s', 'As', '7c', 'Kd', '6h']
['6c', '4s', 'As', '7c', 'Kd', '6h']
['6c', '4s', 'As', '7c', 'Kd', '6h']
['2s', 'Td', 'Jh', '6s', '2c', 'Qh']
['2s', 'Td', 'Jh', '6s', '2c', 'Qh']
['2s', 'Td', 'Jh', '6s', '2c', 'Qh']
['2s', 'Td', 'Jh', '6s', '2c', 'Qh']
['2s', 'Td', 'Jh', '6s', '2c', 'Qh']
['2d', '3s', '6h', 'Th', 'Kc', '4c']
['2d', '3s', '6h', 'Th', 'Kc', '4c']
['2d', '3s', '6h', 'Th', 'Kc', '4c']
['2d', '3s', '6h', 'Th', 'Kc', '4c']
['2d', '3s', '6h', 'Th', 'Kc', '4c']
['3h', '5d', 'Jc', 'As', 'Qd', 'Ac']
['3h', '5d', 'Jc', 'As', 'Qd', 'Ac']
['3h', '5d', 'Jc', 'As', 'Qd', 'Ac']
['3h', '5d', 'Jc', 'As', 'Qd', 'Ac']
